id,prob
19360733,0.0
19360734,0.01
19360735,0.01
19360737,0.0
19360752,0.01
19360756,0.01
19360762,0.01
19360768,0.01
19360788,0.01
19360790,0.0
19360796,0.0
19360804,0.01
19360807,0.01
19360811,0.01
19360823,0.0
19360834,0.01
19360838,0.01
19360840,0.01
19360851,0.0
19360852,0.0
19360867,0.01
19360875,0.01
19360878,0.01
19360890,0.01
19360893,0.01
19360893,0.01
19360898,0.01
19360898,0.01
19360898,0.01
19360907,0.02
19360913,0.01
19360920,0.01
19360924,0.01
19360927,0.01
19360947,0.01
19360953,0.01
19360958,0.01
19360963,0.01
19360965,0.01
19360974,0.01
19360975,0.01
19360979,0.01
19360981,0.01
19360993,0.01
19360996,0.01
19361004,0.01
19361006,0.01
19361015,0.01
19361020,0.01
19361022,0.01
19361028,0.01
19361042,0.01
19361042,0.01
19361044,0.01
19361054,0.01
19361061,0.01
19361062,0.01
19361068,0.01
19361073,0.01
19361074,0.0
19361074,0.01
19361084,0.01
19361085,0.01
19361085,0.01
19361085,0.01
19361087,0.01
19361088,0.01
19361112,0.01
19361119,0.01
19361131,0.01
19361153,0.01
19361158,0.01
19361161,0.01
19361165,0.01
19361167,0.01
19361172,0.01
19361172,0.01
19361174,0.0
19361179,0.01
19361190,0.01
19361191,0.01
19361199,0.01
19361203,0.0
19361209,0.01
19361210,0.01
19361211,0.01
19361219,0.01
19361226,0.01
19361232,0.01
19361236,0.01
19361236,0.01
19361238,0.01
19361246,0.0
19361249,0.01
19361251,0.01
19361254,0.01
19361254,0.01
19361257,0.01
19361259,0.01
19361264,0.02
19361266,0.01
19361271,0.01
19361277,0.01
19361280,0.01
19361281,0.01
19361284,0.01
19361290,0.01
19361293,0.01
19361301,0.0
19361301,0.01
19361320,0.01
19361328,0.01
19361329,0.01
19361333,0.01
19361341,0.01
19361347,0.0
19361351,0.0
19361352,0.01
19361352,0.01
19361362,0.01
19361362,0.0
19361369,0.01
19361378,0.01
19361381,0.01
19361382,0.01
19361386,0.01
19361396,0.01
19361397,0.01
19361398,0.01
19361400,0.01
19361407,0.01
19361409,0.01
19361418,0.01
19361423,0.0
19361429,0.01
19361437,0.0
19361438,0.01
19361448,0.01
19361449,0.01
19361450,0.01
19361471,0.01
19361471,0.01
19361471,0.01
19361477,0.01
19361480,0.01
19361492,0.01
19361504,0.01
19361517,0.01
19361529,0.0
19361531,0.01
19361532,0.01
19361533,0.01
19361539,0.01
19361555,0.01
19361560,0.01
19361561,0.01
19361564,0.01
19361567,0.01
19361575,0.01
19361605,0.01
19361613,0.01
19361620,0.01
19361629,0.01
19361638,0.01
19361642,0.01
19361645,0.01
19361647,0.01
19361680,0.0
19361687,0.01
19361695,0.0
19361716,0.01
19361722,0.01
19361724,0.01
19361732,0.01
19361747,0.01
19361752,0.01
19361757,0.01
19361759,0.01
19361771,0.01
19361788,0.01
19361800,0.01
19361800,0.01
19361810,0.01
19361827,0.01
19361829,0.0
19361831,0.01
19361832,0.01
19361832,0.01
19361838,0.01
19361862,0.01
19361862,0.01
19361877,0.01
19361888,0.01
19361903,0.01
19361906,0.01
19361913,0.01
19361941,0.01
19361946,0.01
19361956,0.01
19361960,0.01
19361969,0.01
19361984,0.01
19362002,0.02
19362015,0.01
19362019,0.01
19362020,0.01
19362043,0.01
19362048,0.01
19362050,0.01
19362050,0.01
19362053,0.01
19362062,0.01
19362063,0.01
19362070,0.01
19362073,0.01
19362079,0.01
19362084,0.01
19362084,0.01
19362099,0.01
19362099,0.01
19362110,0.01
19362120,0.01
19362133,0.01
19362135,0.01
19362138,0.0
19362143,0.01
19362146,0.01
19362164,0.01
19362170,0.01
19362175,0.01
19362189,0.01
19362193,0.01
19362198,0.01
19362209,0.01
19362213,0.01
19362216,0.01
19362228,0.01
19362237,0.01
19362250,0.0
19362253,0.01
19362272,0.01
19362277,0.01
19362291,0.01
19362292,0.01
19362315,0.01
19362320,0.01
19362321,0.01
19362332,0.01
19362340,0.01
19362348,0.01
19362350,0.0
19362350,0.01
19362352,0.01
19362356,0.01
19362363,0.01
19362364,0.01
19362396,0.01
19362399,0.01
19362399,0.01
19362403,0.0
19362415,0.01
19362420,0.01
19362424,0.01
19362429,0.01
19362440,0.01
19362459,0.0
19362466,0.01
19362472,0.01
19362480,0.01
19362497,0.01
19362501,0.01
19362506,0.0
19362509,0.01
19362513,0.01
19362531,0.01
19362534,0.01
19362540,0.01
19362555,0.01
19362558,0.01
19362559,0.01
19362585,0.01
19362590,0.01
19362595,0.01
19362596,0.01
19362601,0.01
19362607,0.01
19362617,0.01
19362639,0.0
19362641,0.01
19362642,0.01
19362644,0.01
19362654,0.01
19362665,0.01
19362680,0.01
19362681,0.0
19362685,0.01
19362686,0.0
19362695,0.01
19362709,0.01
19362718,0.01
19362743,0.01
19362755,0.01
19362760,0.01
19362768,0.01
19362774,0.01
19362775,0.01
19362795,0.01
19362808,0.01
19362810,0.0
19362811,0.01
19362820,0.01
19362829,0.01
19362844,0.01
19362853,0.01
19362854,0.01
19362854,0.01
19362864,0.01
19362876,0.01
19362878,0.01
19362888,0.01
19362895,0.01
19362897,0.05
19362903,0.01
19362906,0.01
19362913,0.01
19362916,0.01
19362920,0.01
19362947,0.01
19362954,0.01
19362955,0.01
19362956,0.01
19362958,0.01
19362963,0.01
19362964,0.01
19362980,0.01
19362993,0.01
19362995,0.01
19362998,0.0
